S. No.,City,Gender,Marital Status,Age,Education,Role,Number of investors in family,Household Income,Percentage of Investment,Source of Awareness about Investment,Knowledge level about different investment product,Knowledge level about sharemarket,Knowledge about Govt. Schemes,Investment Influencer,Investment Experience,Risk Level,Return Earned,Reason for Investment
22,Seattle,Men,Married,Mature Working,Primary,Advertising and Promotion Executive,5,US$ 2736 to US$ 8205,6% to 10%,Others,9,7,3,Others,1 Year to 3 Years,Low,5 to 6,Inflation
23,Seattle,Men,Never Married,Elderly,Primary,Training and Development Executive,5,US$ 2736 to US$ 8205,16% to 20%,Others,10,6,5,Intermediaries,Less Than 1 Year,High,More than 13,Others
24,Houston,Women,Never Married,Early Working,Teritary,Training and Development Executive,2,US$ 2736 to US$ 8205,Don't Want to Reveal,Television,2,10,1,Intermediaries,4 Years to 6 Years,High,5 to 6,Inflation
25,New York,Men,Never Married,Prime Working,Uneducated,Computer and Information System Executive,3,US$ 2736 to US$ 8205,16% to 20%,Family,10,1,4,Institutions,4 Years to 6 Years,Low,Negative Return,Return
26,Memphis,Women,Married,Elderly,Primary,Training and Development Executive,1,US$ 24616 to US$ 30085,11% to 15%,Magazine,10,1,1,Intermediaries,4 Years to 6 Years,Medium,7 to 9,Fun and Exitement
27,New York,Men,Never Married,Mature Working,Middle,Top Executives,4,US$ 19146 to US$ 24615,6% to 10%,Friends,10,1,2,Friends Reference,4 Years to 6 Years,High,1 to 4,Inflation
28,Seattle,Men,Never Married,Elderly,Middle,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,Above 26%,Magazine,1,3,3,Social Media,1 Year to 3 Years,Low,5 to 6,Tax
29,Memphis,Men,Never Married,Early Working,Middle,Marketing and Sales Executive,5,US$ 13676 to US$ 19145,16% to 20%,Workers,6,10,2,Workers Reference,1 Year to 3 Years,Medium,10 to 12 ,Fun and Exitement
30,San Francisco,Women,Married,Prime Working,Primary,Advertising and Promotion Executive,4,Above US$ 30086,16% to 20%,Magazine,10,5,1,Social Media,Above 9 Years,Medium,1 to 4,Fun and Exitement
31,Memphis,Men,Never Married,Children,Primary,Computer and Information System Executive,2,US$ 8206 to US$ 13675,Upto 5%,Television,10,6,2,Family Reference,1 Year to 3 Years,Low,10 to 12 ,Fun and Exitement
32,New York,Men,Married,Mature Working,Uneducated,Advertising and Promotion Executive,1,Above US$ 30086,Don't Want to Reveal,Workers,4,10,2,Friends Reference,4 Years to 6 Years,Low,1 to 4,Tax
33,Memphis,Men,Never Married,Elderly,Middle,Top Executives,1,Above US$ 30086,6% to 10%,Magazine,3,6,3,Social Media,7 Years to 9 Years,High,Negative Return,Fun and Exitement
34,Houston,Women,Never Married,Elderly,Middle,Computer and Information System Executive,4,US$ 8206 to US$ 13675,6% to 10%,Magazine,7,2,1,Social Media,4 Years to 6 Years,High,5 to 6,Others
35,New York,Women,Married,Children,Secondary,Training and Development Executive,1,US$ 2736 to US$ 8205,Upto 5%,Friends,4,10,1,Family Reference,4 Years to 6 Years,Low,5 to 6,Return
36,New York,Women,Married,Elderly,Middle,Top Executives,1,US$ 13676 to US$ 19145,6% to 10%,Magazine,6,1,5,Workers Reference,4 Years to 6 Years,High,1 to 4,Inflation
37,Seattle,Men,Married,Prime Working,Middle,Computer and Information System Executive,4,US$ 24616 to US$ 30085,Above 26%,Television,10,4,2,Others,Less Than 1 Year,High,Negative Return,Inflation
38,Houston,Women,Never Married,Prime Working,Teritary,Marketing and Sales Executive,5,US$ 2735,16% to 20%,Television,3,1,1,Institutions,7 Years to 9 Years,High,7 to 9,Status
39,Seattle,Women,Married,Children,Teritary,Training and Development Executive,1,US$ 2735,6% to 10%,Friends,1,3,5,Friends Reference,1 Year to 3 Years,Medium,5 to 6,Status
40,Memphis,Women,Never Married,Elderly,Primary,Computer and Information System Executive,1,US$ 2736 to US$ 8205,6% to 10%,Family,6,8,4,Social Media,7 Years to 9 Years,High,7 to 9,Inflation
41,Seattle,Men,Married,Prime Working,Teritary,Computer and Information System Executive,2,US$ 2736 to US$ 8205,16% to 20%,Friends,10,2,3,Intermediaries,7 Years to 9 Years,Low,Negative Return,Fun and Exitement
42,Seattle,Women,Never Married,Elderly,Uneducated,Advertising and Promotion Executive,3,US$ 24616 to US$ 30085,Above 26%,Family,8,4,6,Friends Reference,7 Years to 9 Years,Medium,5 to 6,Tax
43,San Francisco,Women,Never Married,Elderly,Teritary,Marketing and Sales Executive,1,Above US$ 30086,Above 26%,Friends,7,10,5,Others,4 Years to 6 Years,Medium,7 to 9,Tax
44,Houston,Women,Married,Children,Primary,Top Executives,3,US$ 24616 to US$ 30085,Above 26%,Magazine,8,10,4,Intermediaries,Less Than 1 Year,High,Negative Return,Tax
45,Houston,Men,Married,Prime Working,Secondary,Training and Development Executive,3,US$ 8206 to US$ 13675,6% to 10%,Magazine,1,5,6,Friends Reference,Above 9 Years,Medium,7 to 9,Inflation
46,New York,Women,Married,Prime Working,Uneducated,Marketing and Sales Executive,5,US$ 2735,21% to 25%,Television,10,2,1,Intermediaries,Above 9 Years,Medium,1 to 4,Return
47,New York,Women,Never Married,Early Working,Primary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,Above 26%,Family,6,10,6,Social Media,Above 9 Years,High,7 to 9,Fun and Exitement
48,Memphis,Women,Never Married,Mature Working,Teritary,Marketing and Sales Executive,2,US$ 2735,Above 26%,Friends,8,1,1,Institutions,1 Year to 3 Years,High,1 to 4,Status
49,Houston,Women,Never Married,Children,Teritary,Top Executives,2,US$ 19146 to US$ 24615,21% to 25%,Friends,10,8,4,Workers Reference,Less Than 1 Year,Medium,Negative Return,Others
50,Seattle,Women,Married,Children,Middle,Advertising and Promotion Executive,2,US$ 13676 to US$ 19145,6% to 10%,Family,1,10,2,Friends Reference,7 Years to 9 Years,Low,Negative Return,Return
51,Memphis,Women,Never Married,Early Working,Middle,Computer and Information System Executive,3,US$ 13676 to US$ 19145,Don't Want to Reveal,Television,2,3,3,Institutions,1 Year to 3 Years,High,Negative Return,Others
52,Seattle,Women,Married,Mature Working,Secondary,Marketing and Sales Executive,3,US$ 13676 to US$ 19145,11% to 15%,Workers,4,5,6,Others,Less Than 1 Year,High,More than 13,Inflation
53,Houston,Men,Never Married,Elderly,Secondary,Advertising and Promotion Executive,1,US$ 2736 to US$ 8205,11% to 15%,Flash Board,4,4,1,Institutions,Above 9 Years,Medium,More than 13,Status
54,Memphis,Men,Married,Prime Working,Teritary,Computer and Information System Executive,3,US$ 13676 to US$ 19145,11% to 15%,Magazine,10,9,2,Family Reference,Above 9 Years,Low,1 to 4,Others
55,New York,Men,Never Married,Prime Working,Teritary,Top Executives,3,US$ 13676 to US$ 19145,6% to 10%,Others,5,1,5,Family Reference,Above 9 Years,High,5 to 6,Inflation
56,Seattle,Women,Married,Early Working,Uneducated,Marketing and Sales Executive,3,US$ 2736 to US$ 8205,Above 26%,Magazine,9,8,6,Others,4 Years to 6 Years,Low,7 to 9,Inflation
57,San Francisco,Men,Married,Children,Middle,Training and Development Executive,2,US$ 8206 to US$ 13675,6% to 10%,Television,8,1,5,Friends Reference,Less Than 1 Year,High,1 to 4,Status
58,Seattle,Women,Never Married,Children,Uneducated,Training and Development Executive,2,US$ 8206 to US$ 13675,Don't Want to Reveal,Friends,4,6,5,Social Media,1 Year to 3 Years,Medium,7 to 9,Status
59,Memphis,Men,Married,Early Working,Primary,Advertising and Promotion Executive,5,US$ 24616 to US$ 30085,6% to 10%,Workers,2,8,6,Family Reference,7 Years to 9 Years,Medium,7 to 9,Others
60,New York,Men,Never Married,Early Working,Secondary,Top Executives,4,Above US$ 30086,21% to 25%,Magazine,1,3,6,Workers Reference,4 Years to 6 Years,High,More than 13,Inflation
61,Houston,Men,Married,Mature Working,Secondary,Top Executives,1,Above US$ 30086,11% to 15%,Workers,2,4,1,Others,4 Years to 6 Years,Medium,More than 13,Status
62,San Francisco,Women,Never Married,Elderly,Secondary,Marketing and Sales Executive,5,Above US$ 30086,11% to 15%,Flash Board,9,6,4,Workers Reference,7 Years to 9 Years,High,5 to 6,Others
63,Houston,Women,Married,Mature Working,Teritary,Computer and Information System Executive,3,US$ 19146 to US$ 24615,16% to 20%,Workers,3,5,4,Friends Reference,4 Years to 6 Years,Medium,10 to 12 ,Tax
64,Houston,Men,Married,Children,Uneducated,Computer and Information System Executive,5,Above US$ 30086,Upto 5%,Friends,3,8,6,Intermediaries,Above 9 Years,Medium,More than 13,Return
65,Houston,Men,Never Married,Mature Working,Primary,Training and Development Executive,1,US$ 19146 to US$ 24615,6% to 10%,Friends,5,1,5,Family Reference,1 Year to 3 Years,High,1 to 4,Inflation
66,San Francisco,Men,Never Married,Mature Working,Uneducated,Top Executives,4,US$ 2736 to US$ 8205,Above 26%,Flash Board,7,4,3,Intermediaries,7 Years to 9 Years,Medium,7 to 9,Status
67,New York,Men,Married,Early Working,Teritary,Training and Development Executive,3,US$ 2736 to US$ 8205,11% to 15%,Friends,9,5,2,Intermediaries,1 Year to 3 Years,High,5 to 6,Status
68,Memphis,Men,Married,Prime Working,Teritary,Top Executives,5,US$ 24616 to US$ 30085,11% to 15%,Workers,3,10,6,Family Reference,7 Years to 9 Years,High,7 to 9,Inflation
69,New York,Men,Never Married,Children,Middle,Top Executives,5,US$ 13676 to US$ 19145,Above 26%,Flash Board,8,2,4,Family Reference,4 Years to 6 Years,High,10 to 12 ,Tax
70,Houston,Women,Married,Prime Working,Secondary,Advertising and Promotion Executive,4,Above US$ 30086,Don't Want to Reveal,Flash Board,5,3,1,Workers Reference,1 Year to 3 Years,Low,Negative Return,Others
71,San Francisco,Women,Married,Elderly,Uneducated,Computer and Information System Executive,3,US$ 13676 to US$ 19145,Don't Want to Reveal,Others,3,10,2,Family Reference,1 Year to 3 Years,High,More than 13,Return
72,San Francisco,Men,Never Married,Children,Teritary,Top Executives,3,US$ 13676 to US$ 19145,6% to 10%,Flash Board,3,6,5,Workers Reference,4 Years to 6 Years,High,1 to 4,Inflation
73,New York,Women,Married,Elderly,Secondary,Computer and Information System Executive,1,US$ 13676 to US$ 19145,21% to 25%,Flash Board,10,9,6,Family Reference,Above 9 Years,Medium,Negative Return,Fun and Exitement
74,New York,Women,Married,Prime Working,Teritary,Top Executives,2,US$ 2735,Don't Want to Reveal,Television,1,10,1,Institutions,1 Year to 3 Years,High,Negative Return,Status
75,New York,Men,Married,Early Working,Secondary,Computer and Information System Executive,4,US$ 13676 to US$ 19145,Don't Want to Reveal,Others,1,6,4,Friends Reference,Less Than 1 Year,High,7 to 9,Tax
76,San Francisco,Men,Married,Prime Working,Teritary,Top Executives,5,Above US$ 30086,21% to 25%,Others,8,10,3,Others,1 Year to 3 Years,Medium,7 to 9,Inflation
77,New York,Men,Never Married,Prime Working,Secondary,Advertising and Promotion Executive,4,US$ 19146 to US$ 24615,16% to 20%,Television,9,10,1,Workers Reference,4 Years to 6 Years,Low,7 to 9,Inflation
78,Houston,Women,Never Married,Children,Middle,Top Executives,1,US$ 2735,21% to 25%,Television,6,5,2,Friends Reference,4 Years to 6 Years,High,7 to 9,Return
79,Houston,Women,Never Married,Prime Working,Middle,Training and Development Executive,2,US$ 24616 to US$ 30085,Don't Want to Reveal,Friends,3,8,2,Institutions,Less Than 1 Year,Low,7 to 9,Fun and Exitement
80,San Francisco,Women,Married,Early Working,Teritary,Training and Development Executive,4,US$ 2736 to US$ 8205,16% to 20%,Family,6,9,3,Workers Reference,Above 9 Years,Medium,5 to 6,Inflation
81,San Francisco,Women,Never Married,Early Working,Primary,Advertising and Promotion Executive,5,Above US$ 30086,Above 26%,Magazine,9,7,3,Institutions,4 Years to 6 Years,Low,7 to 9,Tax
82,San Francisco,Women,Never Married,Elderly,Teritary,Marketing and Sales Executive,5,US$ 2735,21% to 25%,Magazine,8,7,1,Friends Reference,7 Years to 9 Years,Low,More than 13,Status
83,Memphis,Women,Married,Mature Working,Middle,Marketing and Sales Executive,1,US$ 24616 to US$ 30085,6% to 10%,Family,5,2,3,Friends Reference,Less Than 1 Year,High,7 to 9,Tax
84,Houston,Women,Married,Children,Secondary,Advertising and Promotion Executive,3,US$ 19146 to US$ 24615,6% to 10%,Magazine,5,10,1,Friends Reference,7 Years to 9 Years,High,1 to 4,Status
85,Houston,Women,Never Married,Elderly,Middle,Training and Development Executive,2,US$ 2736 to US$ 8205,6% to 10%,Friends,3,7,1,Intermediaries,Less Than 1 Year,High,Negative Return,Inflation
86,San Francisco,Women,Married,Early Working,Secondary,Training and Development Executive,2,US$ 2736 to US$ 8205,Above 26%,Others,4,5,1,Institutions,7 Years to 9 Years,High,More than 13,Others
87,Seattle,Women,Never Married,Prime Working,Middle,Advertising and Promotion Executive,4,US$ 2735,Upto 5%,Workers,1,4,1,Institutions,1 Year to 3 Years,Low,5 to 6,Others
88,Memphis,Women,Married,Prime Working,Uneducated,Computer and Information System Executive,2,US$ 8206 to US$ 13675,Upto 5%,Television,9,10,3,Intermediaries,Above 9 Years,Medium,10 to 12 ,Inflation
89,Seattle,Men,Married,Mature Working,Primary,Advertising and Promotion Executive,3,US$ 13676 to US$ 19145,16% to 20%,Television,10,7,3,Others,Less Than 1 Year,Low,Negative Return,Tax
90,San Francisco,Women,Never Married,Children,Secondary,Advertising and Promotion Executive,2,US$ 24616 to US$ 30085,Upto 5%,Television,9,8,3,Friends Reference,Less Than 1 Year,Low,10 to 12 ,Others
91,Seattle,Men,Never Married,Elderly,Secondary,Advertising and Promotion Executive,3,US$ 2736 to US$ 8205,Above 26%,Family,1,1,3,Intermediaries,Above 9 Years,Medium,5 to 6,Fun and Exitement
92,San Francisco,Women,Married,Prime Working,Uneducated,Computer and Information System Executive,1,US$ 2735,6% to 10%,Magazine,3,4,4,Family Reference,7 Years to 9 Years,High,Negative Return,Fun and Exitement
93,Houston,Women,Married,Prime Working,Secondary,Computer and Information System Executive,3,US$ 13676 to US$ 19145,Upto 5%,Workers,9,3,6,Intermediaries,4 Years to 6 Years,Medium,5 to 6,Fun and Exitement
94,New York,Women,Married,Prime Working,Uneducated,Computer and Information System Executive,3,US$ 2736 to US$ 8205,11% to 15%,Family,5,5,4,Intermediaries,4 Years to 6 Years,Low,1 to 4,Others
95,San Francisco,Men,Never Married,Children,Uneducated,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,6% to 10%,Others,7,1,2,Family Reference,Less Than 1 Year,High,More than 13,Status
96,Houston,Women,Married,Early Working,Secondary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Television,1,4,5,Institutions,1 Year to 3 Years,Low,7 to 9,Inflation
97,Seattle,Women,Married,Prime Working,Middle,Advertising and Promotion Executive,3,US$ 19146 to US$ 24615,Upto 5%,Friends,1,2,5,Social Media,4 Years to 6 Years,Medium,10 to 12 ,Return
98,San Francisco,Women,Never Married,Mature Working,Secondary,Computer and Information System Executive,2,US$ 13676 to US$ 19145,Upto 5%,Magazine,8,5,5,Workers Reference,4 Years to 6 Years,Low,5 to 6,Return
99,San Francisco,Men,Never Married,Children,Teritary,Training and Development Executive,5,US$ 2735,6% to 10%,Magazine,9,2,5,Friends Reference,Less Than 1 Year,Medium,Negative Return,Inflation
100,Memphis,Women,Married,Early Working,Middle,Advertising and Promotion Executive,1,Above US$ 30086,11% to 15%,Magazine,7,3,4,Others,4 Years to 6 Years,Low,More than 13,Tax
101,Memphis,Men,Married,Mature Working,Secondary,Training and Development Executive,3,US$ 2736 to US$ 8205,Above 26%,Flash Board,4,3,3,Others,1 Year to 3 Years,Low,Negative Return,Tax
102,New York,Women,Never Married,Early Working,Primary,Advertising and Promotion Executive,1,US$ 8206 to US$ 13675,Don't Want to Reveal,Television,2,5,5,Intermediaries,Less Than 1 Year,Low,Negative Return,Fun and Exitement
103,New York,Men,Married,Children,Teritary,Training and Development Executive,2,US$ 13676 to US$ 19145,11% to 15%,Friends,6,6,1,Workers Reference,7 Years to 9 Years,Low,Negative Return,Return
104,Houston,Men,Married,Prime Working,Middle,Marketing and Sales Executive,5,US$ 24616 to US$ 30085,Upto 5%,Family,3,1,6,Others,Above 9 Years,High,7 to 9,Status
105,Houston,Women,Married,Prime Working,Primary,Marketing and Sales Executive,2,US$ 24616 to US$ 30085,Above 26%,Flash Board,10,7,5,Workers Reference,7 Years to 9 Years,Medium,Negative Return,Fun and Exitement
106,Memphis,Women,Married,Children,Primary,Computer and Information System Executive,2,US$ 13676 to US$ 19145,Upto 5%,Family,6,2,1,Intermediaries,Less Than 1 Year,Medium,More than 13,Tax
107,Houston,Women,Never Married,Children,Primary,Computer and Information System Executive,5,US$ 24616 to US$ 30085,11% to 15%,Family,9,7,4,Friends Reference,1 Year to 3 Years,Low,10 to 12 ,Inflation
108,San Francisco,Men,Married,Elderly,Uneducated,Top Executives,3,US$ 24616 to US$ 30085,11% to 15%,Friends,1,1,1,Others,Above 9 Years,High,More than 13,Return
109,Seattle,Men,Married,Prime Working,Middle,Marketing and Sales Executive,2,US$ 8206 to US$ 13675,Upto 5%,Friends,3,7,2,Workers Reference,Above 9 Years,Low,5 to 6,Tax
110,San Francisco,Men,Never Married,Mature Working,Primary,Advertising and Promotion Executive,5,US$ 13676 to US$ 19145,16% to 20%,Family,9,6,5,Workers Reference,Less Than 1 Year,Medium,Negative Return,Inflation
111,Seattle,Men,Never Married,Mature Working,Teritary,Top Executives,1,Above US$ 30086,6% to 10%,Family,9,2,6,Others,1 Year to 3 Years,Low,7 to 9,Status
112,Seattle,Men,Never Married,Children,Secondary,Computer and Information System Executive,5,US$ 2736 to US$ 8205,21% to 25%,Flash Board,6,1,4,Intermediaries,4 Years to 6 Years,High,5 to 6,Others
113,San Francisco,Men,Never Married,Prime Working,Middle,Marketing and Sales Executive,5,US$ 2735,Don't Want to Reveal,Workers,9,7,5,Intermediaries,Above 9 Years,High,10 to 12 ,Fun and Exitement
114,Houston,Men,Married,Children,Middle,Marketing and Sales Executive,4,US$ 8206 to US$ 13675,6% to 10%,Flash Board,7,9,1,Family Reference,Less Than 1 Year,Low,5 to 6,Inflation
115,Houston,Men,Married,Prime Working,Primary,Top Executives,1,US$ 19146 to US$ 24615,Above 26%,Television,9,6,5,Friends Reference,Above 9 Years,Low,Negative Return,Others
116,Memphis,Men,Never Married,Early Working,Middle,Computer and Information System Executive,3,US$ 8206 to US$ 13675,Don't Want to Reveal,Others,4,4,2,Intermediaries,Above 9 Years,Medium,More than 13,Others
117,Memphis,Men,Married,Early Working,Middle,Computer and Information System Executive,1,US$ 2736 to US$ 8205,Upto 5%,Television,7,1,1,Social Media,Above 9 Years,Low,1 to 4,Fun and Exitement
118,Memphis,Women,Never Married,Prime Working,Teritary,Marketing and Sales Executive,5,US$ 19146 to US$ 24615,16% to 20%,Others,6,7,6,Intermediaries,Above 9 Years,Low,5 to 6,Return
119,San Francisco,Men,Never Married,Early Working,Secondary,Top Executives,3,US$ 2736 to US$ 8205,Upto 5%,Friends,4,7,1,Workers Reference,1 Year to 3 Years,Low,7 to 9,Tax
120,Houston,Women,Never Married,Prime Working,Primary,Training and Development Executive,1,US$ 2735,11% to 15%,Friends,6,1,3,Others,Above 9 Years,Medium,5 to 6,Inflation
121,Houston,Men,Never Married,Early Working,Primary,Advertising and Promotion Executive,4,US$ 2735,Upto 5%,Flash Board,4,2,5,Friends Reference,Above 9 Years,Low,5 to 6,Status
122,Memphis,Women,Never Married,Elderly,Uneducated,Advertising and Promotion Executive,5,US$ 2736 to US$ 8205,Don't Want to Reveal,Others,4,7,6,Workers Reference,1 Year to 3 Years,Low,Negative Return,Others
123,San Francisco,Men,Never Married,Elderly,Primary,Marketing and Sales Executive,3,Above US$ 30086,6% to 10%,Flash Board,3,3,3,Others,7 Years to 9 Years,High,Negative Return,Return
124,San Francisco,Men,Never Married,Mature Working,Teritary,Computer and Information System Executive,4,US$ 2735,Upto 5%,Television,9,2,4,Others,Less Than 1 Year,Low,10 to 12 ,Status
125,Houston,Women,Never Married,Mature Working,Primary,Training and Development Executive,1,US$ 8206 to US$ 13675,11% to 15%,Family,5,4,4,Intermediaries,4 Years to 6 Years,High,1 to 4,Others
126,New York,Women,Never Married,Elderly,Teritary,Top Executives,2,US$ 19146 to US$ 24615,Above 26%,Television,2,10,2,Institutions,4 Years to 6 Years,Low,More than 13,Status
127,San Francisco,Men,Married,Mature Working,Primary,Top Executives,3,US$ 2735,Don't Want to Reveal,Magazine,2,5,3,Workers Reference,7 Years to 9 Years,Medium,1 to 4,Status
128,New York,Women,Married,Elderly,Teritary,Training and Development Executive,4,US$ 24616 to US$ 30085,11% to 15%,Workers,8,3,6,Friends Reference,1 Year to 3 Years,Low,7 to 9,Tax
129,San Francisco,Women,Never Married,Elderly,Primary,Marketing and Sales Executive,5,US$ 19146 to US$ 24615,6% to 10%,Flash Board,6,4,3,Intermediaries,4 Years to 6 Years,High,7 to 9,Status
130,Memphis,Women,Married,Mature Working,Middle,Top Executives,3,US$ 8206 to US$ 13675,16% to 20%,Television,10,10,1,Institutions,7 Years to 9 Years,High,5 to 6,Tax
131,San Francisco,Men,Never Married,Early Working,Teritary,Training and Development Executive,1,US$ 19146 to US$ 24615,16% to 20%,Workers,10,6,5,Others,7 Years to 9 Years,High,1 to 4,Fun and Exitement
132,Houston,Women,Never Married,Mature Working,Teritary,Advertising and Promotion Executive,4,Above US$ 30086,Upto 5%,Others,4,6,3,Others,4 Years to 6 Years,Low,7 to 9,Tax
133,San Francisco,Women,Never Married,Early Working,Primary,Training and Development Executive,3,Above US$ 30086,11% to 15%,Flash Board,3,5,4,Family Reference,4 Years to 6 Years,High,Negative Return,Inflation
134,San Francisco,Men,Never Married,Elderly,Secondary,Top Executives,5,US$ 2735,Upto 5%,Friends,1,4,3,Friends Reference,Above 9 Years,High,1 to 4,Others
135,San Francisco,Women,Never Married,Elderly,Teritary,Top Executives,5,US$ 24616 to US$ 30085,Above 26%,Others,6,7,2,Friends Reference,1 Year to 3 Years,Low,More than 13,Others
136,New York,Men,Married,Mature Working,Secondary,Marketing and Sales Executive,3,US$ 13676 to US$ 19145,11% to 15%,Workers,4,4,3,Family Reference,7 Years to 9 Years,Low,Negative Return,Return
137,Seattle,Men,Married,Early Working,Teritary,Training and Development Executive,1,US$ 2735,Above 26%,Others,8,3,3,Family Reference,7 Years to 9 Years,Low,Negative Return,Others
138,Seattle,Men,Married,Children,Teritary,Computer and Information System Executive,2,Above US$ 30086,16% to 20%,Others,10,8,6,Intermediaries,Above 9 Years,Medium,More than 13,Return
139,Houston,Women,Married,Children,Secondary,Marketing and Sales Executive,3,US$ 2736 to US$ 8205,16% to 20%,Family,5,8,3,Social Media,4 Years to 6 Years,Medium,Negative Return,Inflation
140,Houston,Women,Married,Early Working,Middle,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,21% to 25%,Magazine,8,10,3,Family Reference,4 Years to 6 Years,Low,5 to 6,Inflation
141,San Francisco,Women,Never Married,Mature Working,Secondary,Training and Development Executive,5,US$ 19146 to US$ 24615,16% to 20%,Family,8,4,1,Social Media,Less Than 1 Year,Low,Negative Return,Others
142,Seattle,Men,Never Married,Children,Uneducated,Computer and Information System Executive,1,US$ 8206 to US$ 13675,16% to 20%,Others,10,10,2,Workers Reference,7 Years to 9 Years,Low,5 to 6,Inflation
143,Memphis,Women,Married,Mature Working,Secondary,Marketing and Sales Executive,1,US$ 8206 to US$ 13675,Above 26%,Others,7,7,5,Workers Reference,1 Year to 3 Years,Medium,10 to 12 ,Tax
